person_id,year_month,total_minutes_month,exam_season_share,top_song,academic_period_source,share_late_night,share_morning,share_afternoon,share_evening,share_night
ama,2016-09,987.2989166666667,0.0,Under The Milky Way,approximate,0.2561953923613306,0.6182653733625253,0.0,0.08149586915884222,0.04404336511730195
ama,2016-10,3927.84805,0.1455660434725829,"Concerto No. 2 in C Minor for Piano and Orchestra, Op. 18: II. Adagio sostenuto",approximate,0.42471679456473205,0.3379790196653186,0.028873341981750032,0.017573952909575172,0.19085689087862415
ama,2016-11,2487.0873,1.0,Vaughan Williams: The Lark Ascending,approximate,0.5320772884275782,0.31043180510792684,0.0034282739760147004,0.049759632482542934,0.10430300000593733
ama,2016-12,605.7757333333333,0.0,Cigarettes & Loneliness,approximate,0.29463995256330283,0.5629652436831408,0.03964671304099779,0.008859824471894769,0.09388826624066375
ama,2017-01,1906.8635333333332,0.0,White,approximate,0.6227826721247979,0.17114901562786194,0.0,0.03307176884848219,0.17299654339885817
ama,2017-02,1348.5312,0.0,Let's Do It (Let's Fall In Love),approximate,0.4056566878096703,0.4871927447185995,0.0,0.044193786543462996,0.06295678092826724
ama,2017-03,2275.8608,0.0,Gold,approximate,0.26038462018415187,0.44375615298322874,0.10725694793518713,0.10976486347495418,0.07883741542247809
ama,2017-04,2826.2941499999997,0.0,Vaughan Williams: The Lark Ascending,approximate,0.4296782767639385,0.4391487878216781,0.012689172262318603,0.004847678953256393,0.11363608419880854
ama,2017-05,2081.448683333333,0.22920676377312563,"Cello Suite No. 5 in C Minor, BWV 1011: I. Prélude",approximate,0.45920027125979035,0.32261204517965497,0.0,0.10381939834996814,0.11436828521058663
ama,2017-06,2205.3641500000003,1.0,Fools Gold - Remastered 2009,approximate,0.5989228354872822,0.2924103486492242,0.0,0.012758792389607554,0.09590802347388601
ama,2017-07,3285.399033333333,0.0,Hard Feelings/Loveless,approximate,0.46508925333889684,0.46480633996249937,0.0,0.022493782109937716,0.047610624588666155
ama,2017-08,3133.3889,0.0,"Violin Concerto in D Major, Op. 77: I. Allegro non troppo",approximate,0.38756214823296703,0.4211759936129644,0.0,0.039007388028554864,0.15225447012551388
ama,2017-09,3793.6367999999993,0.0,Under The Milky Way,approximate,0.6007617413454023,0.3270410115872628,0.0031078708782383523,0.02981714011209507,0.03927223607700136
ama,2017-10,3220.3386166666664,0.23994382536904751,Under The Milky Way,approximate,0.5847892227606686,0.3474646923387461,7.587711389584357e-05,0.0035977686549391176,0.0640724391317503
ama,2017-11,4100.94635,1.0,These Days,approximate,0.4477299001973044,0.3788434670288562,0.03240934863729685,0.050683016941524564,0.09033426719501789
ama,2017-12,2226.940716666667,0.0,Under The Milky Way,approximate,0.48409225352601254,0.34873763253823487,0.00403772161484646,0.10214230893723163,0.06099008338367458
ama,2018-01,2507.8883666666666,0.0,Under The Milky Way,approximate,0.5616102250484277,0.26117434440296927,0.0,0.05792587046438312,0.11928956008422015
ama,2018-02,1186.8894999999998,0.0,Fools Gold - Remastered 2009,approximate,0.5205707860757046,0.1492371025272361,0.0019076333559274051,0.10628888929143501,0.22199558874969688
ama,2018-03,2182.387583333333,0.0,Under The Milky Way,approximate,0.40676381536414385,0.34552343303211763,0.0,0.0658486380226305,0.1818641135811081
ama,2018-04,582.5713,0.0,Under The Milky Way,approximate,0.1847240271991886,0.054625645536148675,0.0,0.7606503272646626,0.0
ama,2018-05,1226.2203333333332,0.1890169684023616,Mr. Tambourine Man,approximate,0.7215713543596434,0.21699248721205894,0.0,0.0,0.06143615842829768
ama,2018-06,2258.3061666666667,1.0,Under The Milky Way,approximate,0.6197334846168261,0.28662229663722155,0.01123596542157666,0.0,0.0824082533243758
ama,2018-07,1667.4434666666666,0.0,Under The Milky Way,approximate,0.21156193521323582,0.2981944575272357,0.01624646784626621,0.3365341981409305,0.1374629412723318
ama,2018-08,2035.9917333333333,0.0,Under The Milky Way,approximate,0.3765508821974261,0.44646500856781474,0.0,0.07063308803218454,0.10635102120257463
ama,2018-09,1913.6958166666666,0.0,Under The Milky Way,approximate,0.36004337470943765,0.44741579402348236,0.0,0.025294005929138042,0.16724682533794186
ama,2018-10,2373.82705,0.4145695098834882,Under The Milky Way,approximate,0.47655481753258594,0.35694420815815825,0.0,0.08932376377911216,0.07717721053014373
ama,2018-11,2134.0587,1.0,Under The Milky Way,approximate,0.44807539736371826,0.12806603367251956,0.025622748802551682,0.1643233462447245,0.23391247391648598
ama,2018-12,1849.9830833333333,0.0,Under The Milky Way,approximate,0.5395536724952935,0.3828496269583006,0.010726413399185588,0.007368977292900471,0.059501309854319846
ama,2019-01,2839.0724500000006,0.0,Under The Milky Way,approximate,0.5122670551550501,0.1438305493049323,0.017063988627694232,0.19906600716253883,0.1277723997497845
ama,2019-02,1973.71985,0.0,Under The Milky Way,approximate,0.4850553131945246,0.050663649149599435,0.0004244101140628782,0.2770034291678562,0.18685319837395703
ama,2019-03,2626.308616666667,0.0,Under The Milky Way,approximate,0.3745546672456627,0.3482151186890533,0.0,0.19992136999233215,0.07730884407295192
ama,2019-04,1482.591,0.0,Under The Milky Way,approximate,0.3224917053995336,0.5040744997552706,0.011513155010383847,0.012882626878664894,0.14903801295614677
ama,2019-05,2518.910383333333,0.2176595365576821,Better - Remastered,approximate,0.2565048910070064,0.4330247940605906,0.004917324602715289,0.10304435006927565,0.20250864026041207
ama,2019-06,2357.024433333333,1.0,Under The Milky Way,approximate,0.19363422523140866,0.5399690030083553,0.0035663680646614146,0.13274952191486972,0.13008088178070507
ama,2019-07,1992.03565,0.0,Hallelujah,approximate,0.28252569174653075,0.24495799895281326,0.0045594063539977315,0.18218642321988568,0.28577047972677266
ama,2019-08,1596.89525,0.0,White Lies and Alibis,approximate,0.28038431658766183,0.5674050212957508,0.0018639293967465929,0.04967702170821786,0.10066971101162292
ama,2019-09,508.61913333333325,0.0,I Like It,approximate,0.25666605542562493,0.4260249679950433,0.008849450807133091,0.2522080372648191,0.05625148850737952
ama,2019-10,1002.8334666666667,0.4032578656130476,Don't Stop 'Til You Get Enough,approximate,0.3102005072028576,0.5492433705509894,0.0007387068986263056,0.09198363410554972,0.0478337812419769
ama,2019-11,1224.8385666666666,1.0,i love you,approximate,0.5605927877788085,0.29237918346627284,0.004622636392599982,0.03272447577241267,0.10968091658990597
ama,2019-12,666.9028333333333,0.0,Peach,approximate,0.6594996472499618,0.21155970497451282,0.0003147884861787712,0.017490753900430776,0.111135105388916
ama,2020-01,1077.5671499999999,0.0,Pictures Of You - Remastered,approximate,0.605995320106037,0.12251794857208358,0.050066176076977345,0.08944585649874967,0.1319746987461524
ama,2020-02,759.7387,0.0,Dance Monkey,approximate,0.31118620125577384,0.22757166378387728,0.10279543041135941,0.16000959715930402,0.19843710738968542
ama,2020-03,899.1448833333334,0.0,Hallelujah,approximate,0.2477150280545258,0.5940002105333674,0.044170356453306484,0.11282260350589031,0.0012918014529100827
ama,2020-04,670.9346166666667,0.0,For Today,approximate,0.462932615117961,0.4841288186129017,0.0,0.0024492699574277946,0.05048929631170967
ama,2020-05,2658.8881666666666,0.19543215713786136,At the River,approximate,0.44265012650337743,0.3905729080118638,0.002484033269795915,0.014290478181701134,0.15000245403326162
ama,2020-06,2186.8196666666668,1.0,Closing Time,approximate,0.31095136788447275,0.6380915801775456,0.001652422490560493,0.009357409291026741,0.03994722015639455
ama,2020-07,1234.7808,0.0,Happens to the Heart,approximate,0.1467236667971082,0.7788686326620347,9.127126045367728e-05,0.027015577717653748,0.047300851562749706
ama,2020-08,956.8331166666667,0.0,Lost my Head there,approximate,0.3169257118974787,0.5858399340867295,0.0,0.003413900790466996,0.0938204532253247
ama,2020-09,830.1737666666666,0.0,Flame Trees,approximate,0.30127985655051415,0.6987201434494859,0.0,0.0,0.0
ama,2020-10,400.93763333333334,0.04716261357024023,Flame Trees,approximate,0.31817234417755247,0.6818276558224475,0.0,0.0,0.0
ama,2020-11,913.3249166666667,1.0,How To Make Gravy,approximate,0.5880528643557755,0.4119471356442244,0.0,0.0,0.0
ama,2020-12,467.19961666666666,0.0,Flame Trees,approximate,0.1854402919922487,0.6267801946327224,0.0,0.0,0.1877795133750288
ama,2021-01,491.7672166666666,0.0,Streets Of Your Town,approximate,0.8026257884277429,0.18347437624027602,0.0,0.0,0.013899835331981091
ama,2021-02,1341.1250333333332,0.0,Hallelujah,approximate,0.6160548142776944,0.2613294246415155,0.0,0.0,0.1226157610807901
ama,2021-03,1396.0788166666666,0.0,These Days,approximate,0.48137310872216876,0.35290358308208697,0.0,0.0008958424493917959,0.16482746574635251
ama,2021-04,994.9138166666668,0.0,Lock It,approximate,0.5632850543888818,0.3252950603141857,0.0,0.1114198852969325,0.0
ama,2021-05,869.75935,0.4096813101233117,The Drugs Don't Work,approximate,0.3920174969470962,0.5190913632220989,0.0,0.0,0.08889113983080493
ama,2021-06,1192.7800333333334,1.0,Alucard Rises,approximate,0.23097571133610245,0.34301307748807885,0.2999089298415206,0.09977721234490818,0.0263250689893898
ama,2021-07,106.83831666666669,0.0,Lost my Head there,approximate,0.5715137468626659,0.42209762758336233,0.006388625553971819,0.0,0.0
ama,2021-08,1208.8616166666666,0.0,We Can't Turn Away,approximate,0.4235488382410244,0.22760200964276348,0.13512302076704477,0.024142782706435228,0.189583348642732
ama,2021-09,875.31545,0.0,Pictures Of You - Remastered,approximate,0.39360411913975313,0.5074403176591935,0.0,0.021350169625514243,0.07760539357553896
ama,2021-10,1654.594716666667,0.06346836213657678,Don't Dream It's Over,approximate,0.5750682067833267,0.3447049263816195,0.053044993908528425,0.00610775954067221,0.021074113385853008
ama,2021-11,413.3199166666667,1.0,Out Of The Woodwork,approximate,0.43957789758901444,0.5582426768288244,0.0,0.0,0.002179425582161034
ama,2021-12,1943.0166999999997,0.0,What I Am,approximate,0.3942640242532827,0.5020133383310601,0.0,0.022567682168317612,0.08115495524733951
ama,2022-01,1621.4277333333334,0.0,Lost my Head there,approximate,0.7736645658295552,0.048191488933045666,0.0,0.013164087567927788,0.16497985766947124
