person_id,master_metadata_track_name,master_metadata_album_artist_name,total_minutes,repeat_count,days_listened,playlist_share,first_listened,last_listened,peak_month
p1,Spiegel im spiegel,Arvo Pärt,32.75981666666667,7,6,0.0,2023-02-22 04:44:25+00:00,2025-05-15 05:31:04+00:00,2023-10
p1,Fantasia Gaelach No. 1,Archibald James Potter,32.73441666666667,4,2,0.0,2024-03-23 05:25:43+00:00,2024-04-07 05:58:45+00:00,2024-03
p1,The Unanswered Question,Charles Ives,30.228316666666665,8,6,0.0,2023-09-15 01:13:55+00:00,2024-09-19 23:36:01+00:00,2024-05
p1,Duel of the Fates,John Williams,29.731699999999996,10,9,0.0,2023-09-09 02:25:51+00:00,2025-05-23 04:50:22+00:00,2023-09
p1,Protection,Massive Attack,29.620649999999998,4,3,0.0,2024-12-25 08:00:29+00:00,2025-01-26 06:31:35+00:00,2025-01
p1,Fuck You,Lily Allen,29.61395,15,10,0.0,2024-12-13 22:48:57+00:00,2025-05-30 02:56:09+00:00,2024-12
p1,Piano Man,Billy Joel,29.1344,7,6,0.0,2022-12-22 11:47:06+00:00,2023-08-14 22:54:00+00:00,2023-01
p1,New York State of Mind,Billy Joel,28.31675,5,5,0.0,2022-12-22 12:09:01+00:00,2023-10-19 08:30:48+00:00,2023-02
p1,My Girl,The Temptations,27.690933333333337,13,4,0.0,2023-10-11 07:07:11+00:00,2023-11-03 05:29:02+00:00,2023-10
p1,Conversations From A Speakeasy,Hilltop Hoods,23.94155,8,7,0.0,2024-12-13 23:20:02+00:00,2025-03-18 09:30:01+00:00,2024-12
p1,Wooden ships,Nigel Westlake,23.67393333333333,16,10,0.0,2022-12-06 11:37:37+00:00,2024-10-25 02:53:43+00:00,2023-10
p1,I Giorni,Ludovico Einaudi,23.3407,3,3,0.0,2024-04-02 04:29:11+00:00,2024-10-25 03:31:23+00:00,2024-09
p1,The Lark Ascending,Ralph Vaughan Williams,23.195283333333332,2,2,0.0,2025-04-04 09:06:54+00:00,2025-04-11 06:56:50+00:00,2025-04
p1,Call Me Maybe,Carly Rae Jepsen,22.928483333333332,10,4,0.0,2023-07-17 21:57:20+00:00,2025-04-03 01:01:58+00:00,2023-07
p1,Africa,TOTO,22.70133333333333,5,5,0.0,2023-02-25 06:18:48+00:00,2024-09-16 22:36:41+00:00,2023-05
p1,Gangnam Style (강남스타일),PSY,20.93235,13,12,0.0,2024-12-18 03:50:39+00:00,2025-06-16 10:24:22+00:00,2024-12
p1,She's Always a Woman,Billy Joel,20.61065,9,7,0.0,2022-12-22 11:58:31+00:00,2023-10-19 08:04:01+00:00,2023-02
p1,American Pie,Don McLean,20.30825,3,3,0.0,2023-04-06 02:51:01+00:00,2024-09-16 22:28:12+00:00,2023-05
