person_id,metric_name,metric_value_num,metric_value_text,metric_unit,metric_group,source_table,confidence_score
p2,peak_month_share,0.03898880423259613,3.9%,percent,volume,derived,1.0
p2,peak_month,0.0,2022-04,month,period,elicitation_periods.csv,1.0
p2,dominant_daypart,0.4441381210778624,late night,daypart,period,derived,1.0
p2,exam_peak_share,1.0,100.0%,percent,period,elicitation_periods.csv,1.0
p2,dominant_emotion_raw,0.2710995714189118,share_joy,label,emotion,elicitation_emotions.csv,0.5942544409509571
p2,dominant_emotion_display,0.2710995714189118,uplift,label,emotion,derived,0.5942544409509571
p2,top2_emotion_share,0.4892353784818291,48.9%,percent,emotion,derived,0.5942544409509571
p2,upbeat_share,0.4436609277137629,44.4%,percent,emotion,derived,0.5942544409509571
p2,heavy_share,0.4172496575905027,41.7%,percent,emotion,derived,0.5942544409509571
p2,anchor_song_name,0.0,Bags,song,song,elicitation_songs.csv,1.0
p2,anchor_song_minutes,1047.0730666666664,1047,minutes,song,elicitation_songs.csv,1.0
p2,anchor_song_days,86.0,86,days,song,elicitation_songs.csv,1.0
p2,intentional_song_name,0.0,Bags,song,song,derived,1.0
p2,intentionality_score,5.697093486505405,5.70,score,song,derived,1.0
p2,intentional_song_repeat_count,297.0,297,plays,song,elicitation_songs.csv,1.0
p2,intentional_song_playlist_share,0.0,0.0%,percent,song,elicitation_songs.csv,1.0
