person_id,metric_name,metric_value_num,metric_value_text,metric_unit,metric_group,source_table,metric_layer
ken,emotional_diversity_raw,3.0,3,count,emotion,elicitation_emotions.csv,raw
ken,emotion_entropy_exp,0.9392977614002587,0.94,entropy,emotion,derived,exp
ken,upbeat_share_raw,0.9035334549944816,90.4%,percent,emotion,derived,raw
ken,upbeat_share_cred,0.5651481662672191,56.5%,percent,emotion,derived,cred
ken,heavy_share_raw,0.0964665450055184,9.6%,percent,emotion,derived,raw
ken,heavy_share_cred,0.3388761379863685,33.9%,percent,emotion,derived,cred
ken,anchor_song_name_raw,0.0,Stellar Stellar,song,song,elicitation_songs.csv,raw
ken,anchor_song_minutes_raw,12.388483333333332,12,minutes,song,elicitation_songs.csv,raw
ken,anchor_song_days_raw,2.0,2,days,song,elicitation_songs.csv,raw
ken,anchor_exposure_tail,0.06728505162048828,6.7%,percent,song,derived,tail
p1,total_minutes_raw,5682.938016666667,"5,683",minutes,volume,elicitation_emotions.csv,raw
p1,match_coverage_percent_raw,63.98482333145044,64.0%,percent,volume,elicitation_emotions.csv,raw
p1,coverage_cred_conf,0.180751261276552,0.18,score,volume,derived,conf
p1,peak_month_minutes_raw,690.4529166666667,690,minutes,volume,elicitation_periods.csv,raw
p1,peak_month_share_raw,0.12149576761909724,12.1%,percent,volume,derived,raw
p1,peak_month_tail,0.12149576761909724,12.1%,percent,volume,derived,tail
p1,peak_month_raw,0.0,2025-02,month,period,elicitation_periods.csv,raw
p1,dominant_daypart_raw,0.0,morning,label,period,derived,raw
p1,dominant_daypart_share_raw,0.36558875197720075,36.6%,percent,period,derived,raw
p1,daypart_conc_tail,0.36558875197720075,36.6%,percent,period,derived,tail
p1,exam_peak_share_raw,1.0,100.0%,percent,period,elicitation_periods.csv,raw
p1,exam_tail_ratio,0.7916257559594753,0.79,ratio,period,derived,tail
p1,dominant_emotion_raw,0.2787452764965663,share_joy,label,emotion,elicitation_emotions.csv,raw
p1,dominant_emotion_display,0.2787452764965663,uplift,label,emotion,derived,raw
p1,top2_emotion_share_raw,0.49509818285502327,49.5%,percent,emotion,derived,raw
p1,emotion_conc_tail,0.18559384883109686,0.19,hhi,emotion,derived,tail
p1,emotional_diversity_raw,5.0,5,count,emotion,elicitation_emotions.csv,raw
p1,emotion_entropy_exp,1.8877743997073222,1.89,entropy,emotion,derived,exp
p1,upbeat_share_raw,0.3937448632237476,39.4%,percent,emotion,derived,raw
p1,upbeat_share_cred,0.5333458563861416,53.3%,percent,emotion,derived,cred
p1,heavy_share_raw,0.4625847522676159,46.3%,percent,emotion,derived,raw
p1,heavy_share_cred,0.3618247288842739,36.2%,percent,emotion,derived,cred
p1,anchor_song_name_raw,0.0,Teardrop,song,song,elicitation_songs.csv,raw
p1,anchor_song_minutes_raw,468.73325,469,minutes,song,elicitation_songs.csv,raw
p1,anchor_song_days_raw,7.0,7,days,song,elicitation_songs.csv,raw
p1,anchor_exposure_tail,0.08248079578297705,8.2%,percent,song,derived,tail
p1,intentional_song_name_raw,0.0,Teardrop,song,song,derived,raw
p1,intentionality_score_raw,4.51085950651685,4.51,score,song,derived,raw
p1,intentionality_score_cred,5.142387753478738,5.14,score,song,derived,cred
p1,intentional_song_repeat_count_raw,90.0,90,plays,song,elicitation_songs.csv,raw
p1,intentional_song_playlist_share_raw,0.0,0.0%,percent,song,elicitation_songs.csv,raw
p2,total_minutes_raw,86502.84955,"86,503",minutes,volume,elicitation_emotions.csv,raw
p2,match_coverage_percent_raw,59.42544409509571,59.4%,percent,volume,elicitation_emotions.csv,raw
